trade_date,open,high,low,close,vol
20230403,12.55,12.69,12.46,12.67,740428.86
20230404,12.64,12.72,12.59,12.65,647457.22
20230406,12.6,12.61,12.5,12.58,563321.3
20230407,12.57,12.69,12.5,12.62,607925.26
20230410,12.64,12.7,12.58,12.68,640181.81
20230411,12.7,12.72,12.52,12.54,777779.62
20230412,12.58,12.59,12.45,12.48,909957.06
20230413,12.41,12.67,12.3,12.56,1131591.46
20230414,12.6,12.9,12.58,12.69,1297994.84
20230417,12.66,12.94,12.6,12.93,1304212.59
20230418,12.93,13.2,12.89,13.0,1538936.15
20230419,13.02,13.07,12.83,12.85,1014378.15
20230420,12.9,12.9,12.62,12.75,811788.41
20230421,12.7,12.83,12.48,12.5,918668.39
20230424,12.48,12.5,12.03,12.1,1467671.92
20230425,12.14,12.37,12.12,12.28,1301900.82
20230426,12.25,12.25,11.99,12.12,991260.4
20230427,12.06,12.35,12.0,12.26,1004093.37
20230428,12.26,12.78,12.22,12.55,1445254.34
20230504,12.4,12.83,12.19,12.73,1478264.38
20230505,12.78,13.11,12.75,12.91,1762188.65
20230508,12.94,13.49,12.84,13.32,2630718.61
20230509,13.4,13.6,13.13,13.16,2422534.45
20230510,13.17,13.26,12.8,12.84,1237053.39
20230511,12.95,13.12,12.8,12.85,903758.44
20230512,12.82,12.87,12.61,12.62,885603.68
20230515,12.68,12.85,12.45,12.83,928325.63
20230516,12.8,12.92,12.57,12.62,998301.69
20230517,12.58,12.64,12.44,12.49,754621.2
20230518,12.57,12.64,12.43,12.49,687186.87
20230519,12.43,12.44,12.32,12.34,688413.68
20230522,12.31,12.45,12.31,12.38,549327.85
20230523,12.38,12.41,12.21,12.21,694364.36
20230524,12.2,12.21,12.01,12.01,824250.88
20230525,11.99,12.0,11.81,11.93,882744.3
20230526,11.93,12.13,11.84,12.1,511428.64
20230529,12.11,12.13,11.95,11.98,566073.82
20230530,11.98,11.99,11.8,11.87,763996.92
20230531,11.82,11.84,11.58,11.6,1179586.71
20230601,11.6,11.68,11.5,11.59,743022.93
20230602,11.68,11.97,11.64,11.93,1221842.53
20230605,11.88,12.0,11.82,11.91,521846.19
20230606,11.91,12.09,11.82,11.84,833273.47
20230607,11.89,12.07,11.88,11.94,643697.84
20230608,11.96,12.2,11.86,12.12,869397.12
20230609,12.06,12.09,11.85,11.88,1315284.76
20230612,11.82,11.9,11.76,11.79,758747.03
20230613,11.76,11.84,11.69,11.77,849988.05
20230614,11.55,11.73,11.46,11.47,1069200.04
20230615,11.49,11.63,11.39,11.61,925300.56
20230616,11.61,11.67,11.57,11.63,842033.65
20230619,11.63,11.63,11.41,11.45,953997.07
20230620,11.44,11.46,11.35,11.36,544550.79
20230621,11.36,11.48,11.34,11.35,616582.96
20230626,11.3,11.3,11.15,11.18,676577.43
20230627,11.2,11.32,11.17,11.28,461701.78
20230628,11.28,11.33,11.22,11.3,365396.44
20230629,11.29,11.29,11.17,11.18,485906.3
20230630,11.18,11.31,11.15,11.23,519052.58
20230703,11.24,11.53,11.23,11.49,885090.71
20230704,11.46,11.49,11.32,11.4,616300.56
20230705,11.36,11.4,11.3,11.34,423482.4
20230706,11.3,11.34,11.21,11.24,597095.91
20230707,11.2,11.27,11.18,11.2,484440.83
20230710,11.25,11.28,11.17,11.2,495882.28
20230711,11.22,11.26,11.19,11.21,570809.09
20230712,11.23,11.36,11.22,11.24,736083.67
20230713,11.32,11.47,11.27,11.43,1124229.73
20230714,11.43,11.55,11.4,11.46,719146.99
20230717,11.41,11.41,11.26,11.31,608342.58
20230718,11.29,11.32,11.22,11.25,471966.18
20230719,11.23,11.32,11.23,11.31,382195.96
20230720,11.33,11.44,11.29,11.32,554069.57
20230721,11.31,11.39,11.28,11.34,377102.56
20230724,11.33,11.33,11.24,11.26,426852.18
20230725,11.45,11.73,11.44,11.72,2032958.19
20230726,11.65,11.74,11.56,11.67,751662.68
20230727,11.68,11.87,11.65,11.75,1115195.86
20230728,11.69,12.3,11.67,12.26,2347013.46
20230731,12.3,12.5,12.23,12.32,1854952.39
20230801,12.26,12.37,12.13,12.16,957734.78
20230802,12.06,12.24,11.93,12.03,1115900.04
20230803,11.99,12.37,11.95,12.33,1175847.71
20230804,12.42,12.53,12.21,12.3,1303131.02
20230807,12.21,12.25,12.12,12.16,646913.26
20230808,12.12,12.21,12.0,12.1,725704.56
20230809,12.06,12.2,12.05,12.17,577607.74
20230810,12.15,12.21,12.06,12.16,475594.53
20230811,12.17,12.27,11.89,11.89,943538.57
20230814,11.76,11.78,11.59,11.67,975920.18
20230815,11.69,11.8,11.6,11.73,712812.77
20230816,11.67,11.85,11.61,11.73,572904.37
20230817,11.67,11.7,11.46,11.57,965057.75
20230818,11.58,11.74,11.53,11.56,659818.85
20230821,11.56,11.58,11.32,11.32,701497.85
20230822,11.38,11.45,11.31,11.37,606808.09
20230823,11.35,11.42,11.24,11.25,691809.98
20230824,11.29,11.32,11.05,11.13,1291270.7
20230825,11.1,11.33,11.08,11.23,845349.92
20230828,11.84,11.93,11.49,11.52,1997609.87
20230829,11.47,11.49,11.13,11.31,1964961.43
20230830,11.27,11.27,11.13,11.13,1375638.29
20230831,11.14,11.22,11.12,11.13,806474.03
20230901,11.19,11.36,11.19,11.32,1138704.83
20230904,11.35,11.59,11.33,11.56,1410029.23
